100,石狩地方北部,43.40,141.50
101,石狩地方中部,43.00,141.30
102,石狩地方南部,42.85,141.50
105,渡島地方北部,42.30,140.20
106,渡島地方東部,41.90,140.70
107,渡島地方西部,41.60,140.25
110,檜山地方,42.10,140.10
115,後志地方北部,43.15,140.75
116,後志地方東部,42.80,140.85
117,後志地方西部,42.80,140.40
119,北海道奥尻島,42.15,139.50
120,空知地方北部,43.80,142.00
121,空知地方中部,43.50,142.00
122,空知地方南部,43.10,141.90
125,上川地方北部,44.30,142.40
126,上川地方中部,43.70,142.65
127,上川地方南部,43.20,142.50
130,留萌地方中北部,44.50,141.90
131,留萌地方南部,43.95,141.70
135,宗谷地方北部,45.20,141.90
136,宗谷地方南部,44.85,142.45
139,北海道利尻礼文,45.20,141.15
140,網走地方,43.80,144.40
141,北見地方,43.80,143.70
142,紋別地方,44.15,143.20
145,胆振地方西部,42.60,140.90
146,胆振地方中東部,42.70,141.70
150,日高地方西部,42.70,142.40
151,日高地方中部,42.45,142.40
152,日高地方東部,42.20,143.00
155,十勝地方北部,43.35,143.30
156,十勝地方中部,42.90,143.30
157,十勝地方南部,42.50,143.15
160,釧路地方北部,43.55,144.40
161,釧路地方中南部,43.20,144.40
165,根室地方北部,43.75,144.95
166,根室地方中部,43.40,145.00
167,根室地方南部,43.30,145.60
200,青森県津軽北部,40.90,140.60
201,青森県津軽南部,40.60,140.35
202,青森県三八上北,40.65,141.35
203,青森県下北,41.30,141.10
210,岩手県沿岸北部,39.85,141.70
211,岩手県沿岸南部,39.20,141.70
212,岩手県内陸北部,40.00,141.20
213,岩手県内陸南部,39.30,141.15
220,宮城県北部,38.65,141.15
221,宮城県中部,38.35,140.95
222,宮城県南部,38.05,140.75
230,秋田県沿岸北部,40.10,140.10
231,秋田県沿岸南部,39.447,140.20
232,秋田県内陸北部,40.16,140.60
233,秋田県内陸南部,39.40,140.55
240,山形県庄内,38.80,139.90
241,山形県最上,38.80,140.30
242,山形県村山,38.40,140.30
243,山形県置賜,38.00,140.00
250,福島県中通り,37.35,140.35
251,福島県浜通り,37.45,140.90
252,福島県会津,37.40,139.70
300,茨城県北部,36.57,140.55
301,茨城県南部,36.05,140.20
310,栃木県北部,36.90,139.80
311,栃木県南部,36.50,139.85
320,群馬県北部,36.70,139.00
321,群馬県南部,36.30,139.00
330,埼玉県北部,36.12,139.30
331,埼玉県南部,35.90,139.50
332,埼玉県秩父,36.00,138.95
340,千葉県北東部,35.73,140.50
341,千葉県北西部,35.70,140.10
342,千葉県南部,35.20,140.00
350,東京都２３区,35.65,139.75
351,東京都多摩東部,35.65,139.40
352,東京都多摩西部,35.80,139.10
354,神津島,34.20,139.15
355,伊豆大島,34.75,139.40
356,新島,34.40,139.25
357,三宅島,34.00,139.55
358,八丈島,33.00,139.80
359,小笠原,26.85,142.20
360,神奈川県東部,35.40,139.45
361,神奈川県西部,35.40,139.20
370,新潟県上越,37.10,138.15
371,新潟県中越,37.35,138.90
372,新潟県下越,38.10,139.30
375,新潟県佐渡,38.00,138.40
380,富山県東部,36.70,137.40
381,富山県西部,36.60,136.95
390,石川県能登,37.20,136.95
